rc2_2_10

VEHICLE
NUMBER     CAPACITY
  5         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0      70         70          0          0       2535          0
    1      10         86         14       1402       2002         10
    2      16         62         15       1344       1944         10
    3      84         36         10        167        767         10
    4      79         72         22          9        609         10
    5      16         39         20         84        684         10
    6      61         54         10         18        618         10
    7      96         26         10         51        651         10
    8      16         92         10       1195       1795         10
    9      85        106         20         39        639         10
   10       6         25         10        281        881         10
   11      37        125         10       1134       1734         10
   12      87        108         20         41        641         10
   13      18        104         18       1107       1707         10
   14      61         48         20         30        630         10
   15      97         29         30         49        649         10
   16     112         67         10         90        690         10
   17      50        106         25       1041       1641         10
   18      99         28         30         89        689         10
   19      15          9          2       1401       2001         10
   20      19         37         20        265        865         10
   21      90        101         10        381        981         10
   22     125         68         20        528       1128         10
   23     127        108         10        299        899         10
   24      90         44          6         32        632         10
   25       4         23         10        230        830         10
   26      17         37         30        173        773         10
   27     113         32         36        336        936         10
   28      63         57         10         14        614         10
   29      94        104         10        273        873         10
   30      58         95         35       1700       2300         10
